date,hours,minutes,caloriesburned,type,won,lost
2025-04-01,1,17,505,league,0,4
2025-04-08,1,15,373,league,0,4
2025-04-15,1,11,559,league,2,3
2025-04-22,1,8,496,league,0,4
2025-04-28,1,23,564,practice,0,0
2025-04-29,1,41,589,league,0,4
2025-05-05,1,27,548,practice,0,0
2025-05-06,1,32,619,league,2,2
2025-05-12,1,30,585,practice,0,0
2025-05-13,1,38,575,league,1,4
2025-06-10,1,49,1009,league,0,4
2025-06-16,1,23,688,practice,0,0
2025-06-17,1,45,909,league,4,0
2025-06-22,1,28,688,practice,0,0
2025-06-23,1,37,678,practice,0,0
2025-06-24,2,8,864,league,2,2
2025-07-08,1,46,720,league,0,4
2025-07-15,2,0,888,league,2,2
2025-07-29,1,39,854,league,2,2
2025-07-31,1,32,641,sub,3,1
2025-08-05,1,20,699,league,3,2
2025-08-12,2,14,940,league,3,2
2025-08-13,2,19,859,practice,0,0
2025-08-18,0,52,387,practice,0,0
2025-08-19,1,57,757,league,4,0
2025-08-20,2,40,867,practice,0,0
2025-08-21,2,17,831,sub,2,2
2025-08-26,2,10,988,league,2,2
2025-08-28,1,57,991,sub,4,1
2025-09-03,2,40,851,league,0,4
2025-09-09,2,10,1049,league,2,2
2025-09-10,1,36,714,league,0,4
2025-09-16,2,18,931,league,3,1
2025-09-17,1,43,710,league,0,4
2025-09-23,1,48,874,league,3,1
2025-09-24,1,48,731,league,3,3
2025-09-30,2,4,983,league,3,2
2025-10-01,1,47,708,league,0,4
2025-10-02,1,47,715,dropin,0,0
2025-10-05,2,14,737,league,1,4
2025-10-07,3,22,1114,league,4,0
2025-10-08,1,42,616,league,4,0
2025-10-09,1,44,612,dropin,0,0
2025-10-14,2,2,980,league,3,1
2025-10-15,1,44,807,league,0,4
2025-10-16,1,51,768,dropin,0,0
2025-10-19,1,50,689,league,1,4
2025-10-19,1,30,644,sub,2,2
2025-10-21,1,41,870,league,4,0
2025-10-22,1,36,596,league,0,4
2025-10-23,1,16,431,dropin,0,0
2025-10-26,1,12,459,league,0,4
2025-10-28,1,46,715,league,4,0
2025-10-29,1,41,678,league,0,4
2025-11-18,1,58,823,league,3,1
2025-11-19,1,41,504,league,0,4
2025-11-25,1,49,832,league,4,0
2025-11-26,1,45,696,league,1,4
2025-11-27,1,49,677,dropin,0,0
2025-12-04,2,15,849,practice,2,2
2025-12-09,2,14,966,league,3,2
2025-12-11,1,51,647,dropin,0,0
2025-12-18,1,42,599,dropin,0,0
2025-12-20,1,50,720,practice,3,1
Jan 6,1,32,649,sub,0,4
Jan 7,1,55,732,league,4,2
Jan 11,1,42,790,league,0,0
Jan 14,1,47,710,league,4,0
Jan 18,1,30,590,league,2,2
Jan 18,1,53,743,league,0,4
Jan 19,1,23,583,practice,0,0
Jan 21,1,41,784,league,2,3
Jan 25,1,32,573,league,3,2
Jan 25,2,8,903,league,0,4
Jan 26,1,36,674,practice,0,0
Jan 28,1,23,586,league,4,1
Feb 1,1,52,913,league,3,2
Feb 1,2,10,901,league,0,4
Feb 2,1,47,660,practice,0,0
Feb 4,1,43,780,league,3,2
Feb 8,1,28,614,league,4,0
Feb 9,1,32,559,practice,0,0
Feb 11,1,54,841,league,0,4
Feb 18,1,44,862,league,1,3
Feb 22,4,4,1693,league,0,0
Feb 23,1,44,636,practice,0,0
Feb 25,1,40,732,league,0,4
Mar 1,1,38,708,league,4,0
Mar 4,1,34,774,league,0,4
Mar 8,1,0,463,league,5,1
Mar 8,1,37,814,sub,2,4
Mar 8,1,39,664,league,3,2
Mar 9,1,39,626,practice,0,0
Mar 11,1,38,677,league,1,4
Mar 15,2,15,831,league,0,2
Mar 18,2,3,983,league,2,3
Mar 19,1,37,710,sub,3,2
Mar 25,1,16,691,league,2,2
